Region,Country,Year,Age,Gender,Literacy rate
Central and Southern Asia,Afghanistan,2011,15+,female,17.61%
Central and Southern Asia,Afghanistan,2011,15+,male,45.42%
Central and Southern Asia,Afghanistan,2011,15+,total,31.74%
Central and Southern Asia,Afghanistan,2011,15-24,female,32.11%
Central and Southern Asia,Afghanistan,2011,15-24,male,61.88%
Central and Southern Asia,Afghanistan,2011,15-24,total,46.99%
Central and Southern Asia,Afghanistan,2011,25-64,female,8.41%
Central and Southern Asia,Afghanistan,2011,25-64,male,37.79%
Central and Southern Asia,Afghanistan,2011,25-64,total,23.15%
Central and Southern Asia,Afghanistan,2011,65+,female,19.67%
Central and Southern Asia,Afghanistan,2011,65+,total,20.32%
Central and Southern Asia,Afghanistan,2018,15+,female,29.81%
Central and Southern Asia,Afghanistan,2018,15+,male,55.48%
Central and Southern Asia,Afghanistan,2018,15+,total,43.02%
Central and Southern Asia,Afghanistan,2018,15-24,female,56.25%
Central and Southern Asia,Afghanistan,2018,15-24,male,74.08%
Central and Southern Asia,Afghanistan,2018,15-24,total,65.42%
Central and Southern Asia,Afghanistan,2018,25-64,female,14.33%
Central and Southern Asia,Afghanistan,2018,25-64,male,45.38%
Central and Southern Asia,Afghanistan,2018,25-64,total,30.46%
Central and Southern Asia,Afghanistan,2018,65+,female,3.47%
Central and Southern Asia,Afghanistan,2018,65+,male,24.75%
Central and Southern Asia,Afghanistan,2018,65+,total,13.33%
Central and Southern Asia,Bangladesh,2011,15+,female,55.12%
Central and Southern Asia,Bangladesh,2011,15+,male,62.48%
Central and Southern Asia,Bangladesh,2011,15+,total,58.77%
Central and Southern Asia,Bangladesh,2011,15-24,female,79.54%
Central and Southern Asia,Bangladesh,2011,15-24,male,76.40%
Central and Southern Asia,Bangladesh,2011,15-24,total,77.98%
Central and Southern Asia,Bangladesh,2011,25-64,female,48.07%
Central and Southern Asia,Bangladesh,2011,25-64,male,58.54%
Central and Southern Asia,Bangladesh,2011,25-64,total,53.24%
Central and Southern Asia,Bangladesh,2011,65+,female,18.43%
Central and Southern Asia,Bangladesh,2011,65+,male,41.51%
Central and Southern Asia,Bangladesh,2011,65+,total,30.19%
Central and Southern Asia,Bangladesh,2012,15+,female,54.24%
Central and Southern Asia,Bangladesh,2012,15+,male,61.54%
Central and Southern Asia,Bangladesh,2012,15+,total,57.86%
Central and Southern Asia,Bangladesh,2012,15-24,female,79.37%
Central and Southern Asia,Bangladesh,2012,15-24,male,76.28%
Central and Southern Asia,Bangladesh,2012,15-24,total,77.83%
Central and Southern Asia,Bangladesh,2012,25-64,female,47.22%
Central and Southern Asia,Bangladesh,2012,25-64,male,57.41%
Central and Southern Asia,Bangladesh,2012,25-64,total,52.25%
Central and Southern Asia,Bangladesh,2012,65+,female,14.08%
Central and Southern Asia,Bangladesh,2012,65+,male,39.47%
Central and Southern Asia,Bangladesh,2012,65+,total,27.18%
Central and Southern Asia,Bangladesh,2013,15+,female,57.79%
Central and Southern Asia,Bangladesh,2013,15+,male,64.21%
Central and Southern Asia,Bangladesh,2013,15+,total,61.02%
Central and Southern Asia,Bangladesh,2013,15-24,female,86.93%
Central and Southern Asia,Bangladesh,2013,15-24,male,84.09%
Central and Southern Asia,Bangladesh,2013,15-24,total,85.53%
Central and Southern Asia,Bangladesh,2013,25-64,female,48.92%
Central and Southern Asia,Bangladesh,2013,25-64,male,58.57%
Central and Southern Asia,Bangladesh,2013,25-64,total,53.74%
Central and Southern Asia,Bangladesh,2013,65+,female,15.30%
Central and Southern Asia,Bangladesh,2013,65+,male,40.09%
Central and Southern Asia,Bangladesh,2013,65+,total,29.33%
Central and Southern Asia,Bangladesh,2014,15+,female,57.86%
Central and Southern Asia,Bangladesh,2014,15+,male,64.37%
Central and Southern Asia,Bangladesh,2014,15+,total,61.09%
Central and Southern Asia,Bangladesh,2014,15-24,female,86.48%
Central and Southern Asia,Bangladesh,2014,15-24,male,84.63%
Central and Southern Asia,Bangladesh,2014,15-24,total,85.55%
Central and Southern Asia,Bangladesh,2014,25-64,female,49.89%
Central and Southern Asia,Bangladesh,2014,25-64,male,58.75%
Central and Southern Asia,Bangladesh,2014,25-64,total,54.25%
Central and Southern Asia,Bangladesh,2014,65+,female,22.85%
Central and Southern Asia,Bangladesh,2014,65+,male,40.45%
Central and Southern Asia,Bangladesh,2014,65+,total,32.15%
Central and Southern Asia,Bangladesh,2015,15+,female,62.25%
Central and Southern Asia,Bangladesh,2015,15+,male,68.06%
Central and Southern Asia,Bangladesh,2015,15+,total,65.14%
Central and Southern Asia,Bangladesh,2015,15-24,female,89.54%
Central and Southern Asia,Bangladesh,2015,15-24,male,86.19%
Central and Southern Asia,Bangladesh,2015,15-24,total,87.89%
Central and Southern Asia,Bangladesh,2015,25-64,female,55.19%
Central and Southern Asia,Bangladesh,2015,25-64,male,63.63%
Central and Southern Asia,Bangladesh,2015,25-64,total,59.36%
Central and Southern Asia,Bangladesh,2015,65+,female,19.28%
Central and Southern Asia,Bangladesh,2015,65+,male,42.83%
Central and Southern Asia,Bangladesh,2015,65+,total,32.10%
Central and Southern Asia,Bangladesh,2016,15+,female,69.90%
Central and Southern Asia,Bangladesh,2016,15+,male,75.62%
Central and Southern Asia,Bangladesh,2016,15+,total,72.76%
Central and Southern Asia,Bangladesh,2016,15-24,female,93.54%
Central and Southern Asia,Bangladesh,2016,15-24,male,90.91%
Central and Southern Asia,Bangladesh,2016,15-24,total,92.24%
Central and Southern Asia,Bangladesh,2016,25-64,female,64.15%
Central and Southern Asia,Bangladesh,2016,25-64,male,72.01%
Central and Southern Asia,Bangladesh,2016,25-64,total,68.07%
Central and Southern Asia,Bangladesh,2016,65+,female,25.02%
Central and Southern Asia,Bangladesh,2016,65+,male,52.44%
Central and Southern Asia,Bangladesh,2016,65+,total,40.05%
Central and Southern Asia,Bangladesh,2017,15+,female,70.09%
Central and Southern Asia,Bangladesh,2017,15+,male,75.70%
Central and Southern Asia,Bangladesh,2017,15+,total,72.89%
Central and Southern Asia,Bangladesh,2017,15-24,female,94.38%
Central and Southern Asia,Bangladesh,2017,15-24,male,91.54%
Central and Southern Asia,Bangladesh,2017,15-24,total,92.95%
Central and Southern Asia,Bangladesh,2017,25-64,female,65.01%
Central and Southern Asia,Bangladesh,2017,25-64,male,72.07%
Central and Southern Asia,Bangladesh,2017,25-64,total,68.52%
Central and Southern Asia,Bangladesh,2017,65+,female,27.17%
Central and Southern Asia,Bangladesh,2017,65+,male,51.09%
Central and Southern Asia,Bangladesh,2017,65+,total,39.47%
Central and Southern Asia,Bangladesh,2018,15+,female,71.18%
Central and Southern Asia,Bangladesh,2018,15+,male,76.67%
Central and Southern Asia,Bangladesh,2018,15+,total,73.91%
Central and Southern Asia,Bangladesh,2018,15-24,female,94.91%
Central and Southern Asia,Bangladesh,2018,15-24,male,91.80%
Central and Southern Asia,Bangladesh,2018,15-24,total,93.30%
Central and Southern Asia,Bangladesh,2018,25-64,female,66.82%
Central and Southern Asia,Bangladesh,2018,25-64,male,72.83%
Central and Southern Asia,Bangladesh,2018,25-64,total,69.75%
Central and Southern Asia,Bangladesh,2018,65+,female,26.76%
Central and Southern Asia,Bangladesh,2018,65+,male,53.07%
Central and Southern Asia,Bangladesh,2018,65+,total,40.12%
Central and Southern Asia,Bhutan,2012,15+,female,48.02%
Central and Southern Asia,Bhutan,2012,15+,male,66.00%
Central and Southern Asia,Bhutan,2012,15+,total,57.03%
Central and Southern Asia,Bhutan,2012,15-24,female,84.49%
Central and Southern Asia,Bhutan,2012,15-24,male,90.40%
Central and Southern Asia,Bhutan,2012,15-24,total,87.32%
Central and Southern Asia,Bhutan,2012,25-64,female,35.61%
Central and Southern Asia,Bhutan,2012,25-64,male,61.49%
Central and Southern Asia,Bhutan,2012,25-64,total,48.71%
Central and Southern Asia,Bhutan,2012,65+,female,3.87%
Central and Southern Asia,Bhutan,2012,65+,male,24.28%
Central and Southern Asia,Bhutan,2012,65+,total,14.94%
Central and Southern Asia,Bhutan,2017,15+,female,57.08%
Central and Southern Asia,Bhutan,2017,15+,male,75.02%
Central and Southern Asia,Bhutan,2017,15+,total,66.56%
Central and Southern Asia,Bhutan,2017,15-24,female,92.89%
Central and Southern Asia,Bhutan,2017,15-24,male,93.27%
Central and Southern Asia,Bhutan,2017,15-24,total,93.09%
