""	"q44"
"1"	"Is there any thing else you'd like to share about your shrimp preferences?"
"2"	"ds"
"3"	"Prefer wild caught"
"4"	"nothing i love shrimp i think it tastes good"
"5"	"I actually really like frozen shrimp. Some can be excellent quality"
"6"	"none"
"7"	"no"
"8"	"I have a difficult time with anything that is raw"
"9"	"No"
"10"	"none"
"11"	"I prefer fried shrimp or shrimp in Italian-style dishes. I do not enjoy shrimp in Asian-style dishes."
"12"	"It looks great"
"13"	"Big"
"14"	"None"
"15"	"I prefer Coconut, Bang Bang, or Popcorn Shrimp. Or else I do like it in pasta at times."
"16"	"no"
"17"	"In your own words, what do you believe the brand is trying to communicate with you? Please be as detailed as possible in your answer."
"18"	"No there isnt"
"19"	"No, thank you"
"20"	"no"
"21"	"no"
"22"	"FRESH AND WILD CAUGHT"
"23"	"I would probably eat it a lot more if it lasted a little longer say 5 days and was a little cheaper"
"24"	"n/a"
"25"	"No not at this time"
"26"	"None"
"27"	"N/A"
"28"	"No, not now"
"29"	"Nothing"
"30"	"No"
"31"	"Nothing"
"32"	"no"
"33"	"No"
"34"	"no"
"35"	"I'm an \"equal opportunity\" shrimp lover. It's easy and compact to store in the freezer and equally easy to prepare. There are so many ways to prepare shrimp! Beyond that, it's healthy!"
"36"	"no"
"37"	"no"
"38"	"no preferences"
"39"	"no"
"40"	"none"
"41"	"I just want it to be fresh and very safe to consume."
"42"	"de-veined shrimp is what i eat."
"43"	"I like shrimp that has been deveined, easy peel type shrimp."
"44"	"As long as it's fresh, I am happy."
"45"	"I like for them to smell fresh.  If the smell really \"fishy\" I don't buy them."
"46"	"no"
"47"	"It was appealing to the eye"
"48"	"I love making homemade cocktail sauce

"
"49"	"I prefer it to be more locally caught."
"50"	"rtyrtyr"
"51"	"NO"
"52"	"No"
"53"	"None"
"54"	"larger size because they tend to shrink after cooking. so I see no logic in buying small"
"55"	"no"
"56"	"nothing"
"57"	"nope"
"58"	"no"
"59"	"no"
"60"	"The size does mattter depending on what you are cooking."
"61"	"Nothing"
"62"	"shrimp cocktail is my favorite"
"63"	"no"
"64"	"I love shrimp"
"65"	"Nothing"
"66"	"No"
"67"	"None"
"68"	"No"
"69"	"Not really, except I am thinking I will make shrimp scampi for dinner!"
"70"	"no"
"71"	"No thank you"
"72"	"no"
"73"	"nothing really"
"74"	"none"
"75"	"no"
"76"	"looks more fresh"
"77"	"We enjoy fresh caught shrimp from the gulf."
"78"	"nothing"
"79"	"No"
"80"	"no"
"81"	"Love the taste and the price"
"82"	"not at this time"
"83"	"great"
"84"	"All Shrimp usually taste the same, at least that's how I see it."
"85"	"See last screen"
"86"	"My teen loves shrimp...  have to get at Long John's (out of town) or a more expensive restaurant."
"87"	"no thank you"
"88"	"no"
"89"	"No"
"90"	"I like Shrimp many ways. I prefer it unbreaded."
"91"	"No"
"92"	"no"
"93"	"No"
"94"	"I like shrimp that is larger, and less veiny"
"95"	"I always look fro USA wild caught"
"96"	"Living in Missouri, we have to depend on stores to get our shrimp."
"97"	"No."
"98"	"no"
"99"	"I love shrimps in any way                 thank you"
"100"	"no"
"101"	"very nice"
"102"	"Quick to cook"
"103"	"Must be wild caught."
"104"	"None"
"105"	"i like share the flavor"
"106"	"love shrimp scampi"
"107"	"I prefer a firm shrimp, not one that is mushy or mealy"
"108"	"none"
"109"	"Just fresh caught is the best never frozen , but that is not easy to get when you do not live near the coast."
"110"	"I wish there was more variation of shrimp being local. I always see frozen shrimp at my local grocer and I really wish they carried fresh (never frozen) shrimp. There is an Asian market I go to that has fresh shrimp, but it is not close to me, so I don't go there very often."
"111"	"none"
"112"	"no"
"113"	"Not at this time."
"114"	"needs to have no chemical preservatives"
"115"	"no"
"116"	"Nothing really"
"117"	"na"
"118"	"no not at this time"
"119"	"Needs to be fresh"
"120"	"no"
"121"	"None"
"122"	"is very good"
"123"	"no"
"124"	"No"
"125"	"I like the fresher choice if possible"
"126"	"N/A"
"127"	"No"
"128"	"None"
"129"	"no"
"130"	"no"
"131"	"no"
"132"	"n/a"
"133"	"As the quality goes down so does my spending"
"134"	"Love shrimp in salads and soup"
"135"	"no"
"136"	"no"
"137"	"cvbncvnbvnb"
"138"	"nope"
"139"	"NOPE"
"140"	"no, I love shrimp"
"141"	"yoour visual, very good"
"142"	"No"
"143"	"just live it and low fat"
"144"	"No."
"145"	"its all good"
"146"	"No"
"147"	"No."
"148"	"nothing"
"149"	"no"
"150"	"No."
"151"	"I love all kinds of shrimp and how they are cooked."
"152"	"It is fun finding new recipes"
"153"	"Nothing else"
"154"	"I should be bolder about cooking raw shrimp but it's so much work."
"155"	"No"
"156"	"no"
"157"	"no"
"158"	"no"
"159"	"n/a"
"160"	"i like it for its color and smell so i enjoy it"
"161"	"no"
"162"	"fresh natural organic great taste and flavor"
"163"	"no"
"164"	"no"
"165"	"no"
"166"	"I like them to be meaty."
"167"	"No"
"168"	"I love sea food,  ( red Lobter )"
"169"	"I love scampi and shrimp cocktail"
"170"	"no"
"171"	"no"
"172"	"none"
"173"	"That we love shrimp"
"174"	"no"
"175"	"No, thank you.  I'm not very knowledgeable when it comes to shrimp."
"176"	"none"
"177"	"no"
"178"	"None"
"179"	"none"
"180"	"NO"
"181"	"none"
"182"	"no"
"183"	"NO I THINK YOU ABOUT COVERED IT THIS WAS A GOOD SURVEY"
"184"	"no"
"185"	"I prefer wild caught"
"186"	"no"
"187"	"no"
"188"	"nope"
"189"	"no"
"190"	"not at this time"
"191"	"tender shrimp are better tasteing"
"192"	"love it. thank you"
"193"	"nothing more to add at this time"
"194"	"very good"
"195"	"no"
"196"	"Nothing"
"197"	"I LIKE VERY MUCH"
"198"	"I like shrimp when their texture is not mushy."
"199"	"no"
"200"	"love to eat it"
"201"	"?"
"202"	"dcghdfgfdhdf"
"203"	"NA"
"204"	"no"
"205"	"No"
"206"	"Mo"
"207"	"no"
"208"	"No"
"209"	"i love shrimp and its good for diet"
"210"	"No"
"211"	"Not really"
"212"	"I like pawns!!"
"213"	"no"
"214"	"none"
"215"	"no"
"216"	"No"
"217"	"No"
"218"	"no that will be all"
"219"	"I enjoy fresh, jumbo shrimp with body .  in other words not mushy.  Shrimp and lobster are my favorite foods.  Cant get to much"
"220"	"no"
"221"	"I purchase frozen as well if I am unable to get a nice fresh shrimp."
"222"	"Nothing"
"223"	"None"
"224"	"just I wish I could get it right from the waters when caught"
"225"	"not really to be honest"
"226"	"No"
"227"	"Freshest is best"
"228"	"nothing except i like them breaded mostly"
"229"	"nope"
"230"	"I prefer a pink color!!"
"231"	"no"
"232"	"I've always loved shrimp, luckily I married another shrimp lover.  Sometimes that's all we have for dinner.....just boiled shrimp with homemade cocktail sauce, on lettuce."
"233"	"I like when my shrimp smells fresh."
"234"	"i like shrimp 
"
"235"	"No"
"236"	"N/A"
"237"	"none"
"238"	"no"
"239"	"shrimp dripping with butter"
"240"	"no"
"241"	"no"
"242"	"no"
